n_commits,nome,localidade
3349,TimGraham,USA
2802,AdrianHolovaty,Netherlands
1872,MalcolmTredinnick,Australia
1741,RussellKeith-Magee,Australia
1720,ClaudeParoz,Switzerland
1622,MariuszFelisiak,Poland
1399,AymericAugustin,France
895,JannisLeidel,Germany
893,JacobKaplan-Moss,USA
730,SimonCharette,canada
520,AlexGaynor,USA
497,LukePlant,en
487,RamiroMorales,Argentina
451,AndrewGodwin,USA
425,JonDufresne,canada
373,SergeyFedoseev,
354,AnssiKääriäinen,Finland
341,NickPope,en
335,GaryWilsonJr,USA
296,FlorianApolloner,
277,KarenTracey,
276,JustinBronn,
264,JamesBennett,
254,HasanRamezani,
247,AdamJohnson,
219,BaptisteMispelon,
213,CarlMeyer,
202,GeorgBauer,
195,JulienPhalip,
171,LoicBistuer,
158,DavidSmith,
150,BrianRosner,
146,SarahBoyce,
144,ChrisJerdonek,
144,MarkusHoltermann,
143,TimoGraham,
139,MarcTamlyn,
123,GabrielHurley,
111,JacobWalls,
101,Natalia,
98,MadsJensen,
93,ChrisBeaven,
93,IanKelly,
76,ShaiBerger,
75,PrestonHolmes,
74,FrançoisFreitag,
73,DavidWobrock,
73,MarcFargas,
71,BerkerPeksag,
70,PrestonTimmons,
68,CollinAnderson,
68,DavidSanders,
67,JosephKocherhans,
61,AlasdairNicol,
57,AdamChainz,
55,PaulMcMillan,
52,HannesLjungberg,
50,nessita,
47,KerynKnight,
46,SimonMeers,
46,TomForbes,
44,JarekZgoda,
44,JoshSmeaton,
44,WilsonMiner,
41,TomCarrick,
39,ErikRomijn,
38,HonzaKrál,
36,NicolaLarosa,
35,MartenKenbeek,
34,MattBoersma,
33,Akshesh,
33,AntonSamarchyan,
33,ThomasChaumeny,
32,DanielHahler,
30,AnubhavJoshi,
30,DanielWiesmann,
30,MichaelManfre,
30,SimonWillison,
30,sarahboyce,
29,IanFoote,
28,AndriySokolovskiy,
28,CliffordGama,
28,MatthiasKestenholz,
27,DanieleProcida,
26,BoukeHaarsma,
26,CurtisMaloney,
26,JoshSchneier,
25,AlexHill,
24,AdamZapletal,
23,EdMorley,
23,MoayadMardini,
23,PaoloMelchiorre,
22,JaapRoes,
22,JohannesHoppe,
22,KevinChristopherHenry,
22,MarceloGaligniana,
22,VilleSkyttä,
22,antoliny0919,
21,wrwrwr,
20,DonaldStufft,
20,Tom,
20,UnaiZalakain,
19,CaioAriede,
19,Paulo,
19,SrinivasReddyThatiparthy,
18,MattRobenolt,
18,MikeEdmunds,
17,FlavioCurella,
17,MarkusAmaltheaMagnuson,
17,MatthewSomerville,
17,RanBenita,
17,can,
16,BenCail,
16,MoritzSichert,
16,RiccardoMagliocchetti,
16,areski,
15,BendeguzCsirmaz,
15,ChrisLamb,
15,RaphaelMichel,
15,VajraskyKok,
15,VytisBanaitis,
15,ŁukaszLanga,
14,BasPeschier,
14,David,
14,GavinWahl,
14,LudvigEricson,
14,MartiRaudsepp,
14,MatthijsKooijman,
14,PeterInglesby,
14,TobiasKunze,
13,AlexanderGaevsky,
13,MatthewSchinckel,
13,elky,
13,sage,
13,ДилянПалаузов,
12,AndrewNester,
12,DaniloBargen,
12,GregChapple,
12,HrushikeshVaidya,
12,IanClelland,
12,IurideSilvio,
12,JorgeC.Leitão,
12,MichalPetrucha,
12,NickSandford,
12,PavełTyślacki,
12,WilliamSchwartz,
12,oliver,
11,AdTimmering,
11,AkashKumarSen,
11,DevilsAutumn,
11,FrancescoPanico,
11,Gagaro,
11,HonzaKral,
11,JohnParton,
11,JonJanzen,
11,SalvoPolizzi,
11,TomChristie,
11,YoongKangLim,
11,ZbigniewSiciarz,
11,mgaligniana,
10,AhmedNassar,
10,AlexanderLazarević,
10,BenLomax,
10,ChristopherMedrela,
10,DiegoGuimarães,
10,IamClinton,
10,MinhoKim,
10,PrzemysławSuliga,
10,RaffaeleSalmaso,
10,SusanTan,
10,ThomasGrainger,
10,eltronix,
9,AljosaMohorovic,
9,AndreiKulakov,
9,AttilaTovt,
9,DanielMusketa,
9,David-Wobrock,
9,HishamMahmood,
9,LoïcBistuer,
